ID	Slp_C	Slp_S	TX_Time	Send_TS
0	100	100	185		1395839744160344
1	100	96	39		1395839744160625
2	100	145	33		1395839744160809
3	100	150	31		1395839744160992
4	100	151	29		1395839744161174
5	100	151	28		1395839744161354
6	100	150	30		1395839744161532
7	100	151	29		1395839744161713
8	100	141	30		1395839744161883
9	100	154	28		1395839744162067
10	100	152	26		1395839744162247
11	100	152	25		1395839744162425
12	100	153	26		1395839744162603
13	100	152	25		1395839744162781
14	100	152	25		1395839744162958
15	100	153	25		1395839744163136
16	100	154	25		1395839744163315
17	100	152	25		1395839744163492
18	100	153	25		1395839744163670
19	100	152	26		1395839744163847
20	100	151	26		1395839744164024
21	100	152	25		1395839744164202
22	100	153	26		1395839744164380
23	100	152	24		1395839744164558
24	100	153	25		1395839744164735
25	100	153	26		1395839744164913
26	100	153	25		1395839744165092
27	100	153	25		1395839744165270
28	100	152	25		1395839744165447
29	100	152	25		1395839744165624
30	100	152	25		1395839744165801
31	100	161	40		1395839744165987
32	100	154	27		1395839744166181
33	100	155	25		1395839744166363
34	100	154	25		1395839744166542
35	100	155	24		1395839744166722
36	100	154	25		1395839744166900
37	100	157	29		1395839744167082
38	100	154	25		1395839744167265
39	100	154	25		1395839744167444
40	100	155	25		1395839744167624
41	100	154	24		1395839744167803
42	100	154	25		1395839744167981
43	100	154	24		1395839744168160
44	100	155	25		1395839744168339
45	100	154	26		1395839744168518
46	100	154	25		1395839744168698
47	100	154	25		1395839744168877
48	100	131	56		1395839744169033
49	100	156	49		1395839744169245
0	1000	5345252	153		1395839749514546
1	1000	1085	129		1395839749515784
2	1000	1035	138		1395839749516948
3	1000	1041	115		1395839749518127
4	1000	1067	137		1395839749519309
5	1000	1066	137		1395839749520512
6	1000	1040	84		1395839749521689
7	1000	1060	85		1395839749522833
8	1000	1061	68		1395839749523979
9	1000	1063	58		1395839749525110
10	1000	1060	59		1395839749526228
11	1000	1057	56		1395839749527344
12	1000	1055	41		1395839749528455
13	1000	1068	63		1395839749529564
14	1000	1043	23		1395839749530670
15	1000	1062	53		1395839749531755
16	1000	1056	52		1395839749532864
17	1000	1045	23		1395839749533961
18	1000	1076	64		1395839749535060
19	1000	1054	43		1395839749536178
20	1000	1073	264		1395839749537294
21	1000	1055	49		1395839749538613
22	1000	1048	37		1395839749539710
23	1000	1088	66		1395839749540835
24	1000	1064	50		1395839749541965
25	1000	1066	68		1395839749543081
26	1000	1062	77		1395839749544211
27	1000	1043	70		1395839749545331
28	1000	1104	92		1395839749546505
29	1000	1062	87		1395839749547659
30	1000	1087	87		1395839749548833
31	1000	1062	100		1395839749549982
32	1000	1086	84		1395839749551168
33	1000	1086	85		1395839749552338
34	1000	1049	70		1395839749553472
35	1000	1070	89		1395839749554612
36	1000	1097	90		1395839749555798
37	1000	1061	79		1395839749556949
38	1000	1072	70		1395839749558100
39	1000	1062	40		1395839749559232
40	1000	1067	82		1395839749560339
41	1000	1031	54		1395839749561452
42	1000	1069	81		1395839749562575
43	1000	1031	112		1395839749563687
44	1000	995	103		1395839749564794
45	1000	998	82		1395839749565895
46	1000	1017	82		1395839749566994
47	1000	1013	95		1395839749568089
48	1000	1009	54		1395839749569193
49	1000	1137	86		1395839749570384
0	5000	7925143	255		1395839757495613
1	5000	5028	101		1395839757500896
2	5000	5048	64		1395839757506045
3	5000	5043	81		1395839757511152
4	5000	5066	80		1395839757516299
5	5000	5062	86		1395839757521441
6	5000	5055	82		1395839757526582
7	5000	5077	109		1395839757531741
8	5000	5065	135		1395839757536915
9	5000	5059	128		1395839757542109
10	5000	5044	147		1395839757547281
11	5000	5092	140		1395839757552520
12	5000	5035	89		1395839757557695
13	5000	5077	125		1395839757562861
14	5000	5040	125		1395839757568026
15	5000	5021	88		1395839757573172
16	5000	5055	149		1395839757578315
17	5000	5106	141		1395839757583570
18	5000	5082	130		1395839757588793
19	5000	5040	88		1395839757593963
20	5000	5097	113		1395839757599148
21	5000	5038	58		1395839757604299
22	5000	5122	112		1395839757609479
23	5000	5526	157		1395839757615117
24	5000	5053	121		1395839757620327
25	5000	5038	93		1395839757625486
26	5000	5113	141		1395839757630692
27	5000	5036	137		1395839757635869
28	5000	5035	136		1395839757641041
29	5000	5059	138		1395839757646236
30	5000	5038	109		1395839757651412
31	5000	5044	98		1395839757656565
32	5000	5059	182		1395839757661722
33	5000	5016	144		1395839757666920
34	5000	5060	142		1395839757672124
35	5000	5064	142		1395839757677330
36	5000	5052	108		1395839757682524
37	5000	5080	91		1395839757687712
38	5000	5082	106		1395839757692885
39	5000	5120	117		1395839757698111
40	5000	5086	120		1395839757703314
41	5000	5091	114		1395839757708525
42	5000	5111	147		1395839757713750
43	5000	5099	140		1395839757718996
44	5000	5030	106		1395839757724166
45	5000	5099	148		1395839757729371
46	5000	5015	119		1395839757734534
47	5000	5014	84		1395839757739667
48	5000	5053	87		1395839757744804
49	5000	5049	90		1395839757749940
0	10000	6360184	352		1395839764110214
1	10000	10102	144		1395839764120668
2	10000	10067	99		1395839764130879
3	10000	10051	51		1395839764141029
4	10000	10081	78		1395839764151161
5	10000	10094	104		1395839764161333
